Código CCN,Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Número de camas instaladas,Tipo de Centro,Dependencia Funcional,Observaciones,Concierto,Acreditación Docente
0118004856,180042,HOSPITAL DE NEUROTRAUMATOLOGIA Y REHABILITACION DEL H.U. VIRGEN DE LAS NIEVES,Andalucía,Granada,Granada,CARRETERA DE JAEN S/N,18013,958020000,241,Hospitales especializados,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0118004857,180191,HOSPITAL DOCTOR OLORIZ,Andalucía,Granada,Granada,AVENIDA DR. OLORIZ 16,18012,958023000,50,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0121000146,210025,HOSPITAL INFANTA ELENA,Andalucía,Huelva,Huelva,CALLE DR. PEDRO NARANJO RODR?GUEZ S/N,21007,959015132,304,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0121000147,210123,HOSPITAL UNIVERSITARIO JUAN RAMON JIMENEZ,Andalucía,Huelva,Huelva,RONDA EXTERIOR NORTE S/N,21005,959016000,587,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0121000149,210031,HOSPITAL VAZQUEZ  DIAZ,Andalucía,Huelva,Huelva,CARRETERA SEVILLA-HUELVA S/N,21005,959014603,91,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0121000150,210097,HOSPITAL DE RIOTINTO,Andalucía,Huelva,Minas de Riotinto,AVENIDA LA ESQUILA 5,21660,959025295,118,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0121000151,210084,CLINICA LOS NARANJOS,Andalucía,Huelva,Huelva,PASEO DE LOS NARANJOS 1,21004,959243900,34,Hospitales Generales,Privados,,Concierto parcial,NO
0121001251,210137,HOSPITAL QUIRONSALUD HUELVA,Andalucía,Huelva,Huelva,CALLE PUNTA UMBRIA 8,21002,959242100,56,Hospitales Generales,Privados,,Concierto parcial,NO
0121001889,210148,HOSPITAL VIRGEN DE LA BELLA,Andalucía,Huelva,Lepe,AVENIDA LAS ROSAS S/N,21440,959180550,61,Hospitales Generales,Privados,,Red de utilización pública (RUP),NO
0123000208,230011,HOSPITAL UNIVERSITARIO DE JAEN,Andalucía,Jaén,Jaén,AVENIDA EJERCITO ESPAÑOL 10,23007,953008000,692,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0123000210,230047,HOSPITAL NEUROTRAUMATOLOGICO DEL H.U. DE JAEN,Andalucía,Jaén,Jaén,CARRETERA BAILEN MOTRIL S/N,23007,953008000,186,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0123000211,230026,HOSPITAL DOCTOR  SAGAZ,Andalucía,Jaén,Jaén,CARRETERA DEL NEVERAL S/N,23004,953008001,54,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0123000212,230151,HOSPITAL MATERNO-INFANTIL DEL H.U. DE JAEN,Andalucía,Jaén,Jaén,AVENIDA DEL EJERCITO ESPAÃ?OL 10,23007,953008000,122,Hospitales especializados,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0123000213,230079,HOSPITAL  SAN AGUSTIN,Andalucía,Jaén,Linares,AVENIDA SAN CRISTOBAL S/N,23700,953024200,234,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0123000214,230098,HOSPITAL SAN JUAN DE LA CRUZ,Andalucía,Jaén,Úbeda,CARRETERA DE LINARES S/N,23400,953028200,225,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0123000215,230063,CLINICA CRISTO REY,Andalucía,Jaén,Jaén,PASEO LA ESTACION 40,23008,953250440,39,Hospitales Generales,Privados,,Sin concierto,NO
0123000216,230145,HOSPITAL ALTO GUADALQUIVIR,Andalucía,Jaén,Andújar,AVENIDA BLAS INFANTE S/N,23740,953021575,69,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0123000703,230162,HOSPITAL DE ALTA RESOLUCION SIERRA DE SEGURA,Andalucía,Jaén,Puente de Génave,"CARRETERA PUENTE G?NAVE - LA PUERTA DE SEGURA, KM. 0,300 S/N",23350,953499012,24,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0123000736,230173,HOSPITAL DE ALTA RESOLUCION DE ALCAUDETE,Andalucía,Jaén,Alcaudete,CAMINO VIEJO DE LA FUENSANTA 2,23660,953368211,16,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0123002675,230184,HOSPITAL DE ALTA RESOLUCION DE ALCALA LA REAL,Andalucía,Jaén,Alcalá la Real,AVENIDA DE IBEROAMÃRICA S/N,23680,953599008,28,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0123003108,230195,HOSPITAL PUERTA DE ANDALUCIA,Andalucía,Jaén,Jaén,CARRETERA CARRETERA BAILEN-MOTRIL S/N,23009,953008000,79,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0123003109,230206,CENTRO HOSPITALARIO DE ALTA RESOLUCION DE CAZORLA,Andalucía,Jaén,Cazorla,CARRETERA A-319 CAZORLA-PEAL DEL BECERRO S/N,23470,953028611,26,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0123003127,230217,HOSPITAL METROPOLITANO DE JAEN,Andalucía,Jaén,Jaén,CARRETERA CORDOBA-VALENCIA S/N,23005,953275565,35,Hospitales Generales,Privados,,Concierto parcial,NO
0129000185,290494,HELICOPTEROS SANITARIOS HOSPITAL,Andalucía,Malaga,Marbella,CARRETERA NACIONAL 340 S/N,29600,952816767,10,Hospitales Generales,Privados,,Sin concierto,NO
0129001066,290287,HOSPITAL UNIVERSITARIO COSTA DEL SOL,Andalucía,Malaga,Marbella,CARRETERA AUTOVIA A-7 KM187,29603,951976669,408,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0129001068,290017,HOSPITAL UNIVERSITARIO REGIONAL DE MALAGA,Andalucía,Malaga,Málaga,AVENIDA CARLOS HAYA S/N,29010,951030100,523,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0129001070,290265,HOSPITAL MATERNO INFANTIL DEL H.U.R.  DE  MALAGA,Andalucía,Malaga,Málaga,CALLE ARROYO DE LOS ANGELES S/N,29009,951030200,349,Hospitales especializados,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0129001071,290038,HOSPITAL CIVIL,Andalucía,Malaga,Málaga,PLAZA DEL HOSPITAL CIVIL S/N,29009,951030300,201,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0129001073,290022,HOSPITAL UNIVERSITARIO VIRGEN DE LA VICTORIA,Andalucía,Malaga,Málaga,CALLE CAMPUS UNIVERSITARIO TEATINOS S/N,29010,951032000,657,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0129001075,290213,HOSPITAL MARITIMO DE  TORREMOLINOS,Andalucía,Malaga,Torremolinos,CALLE SANATORIO 5,29620,951033735,89,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0129001077,290206,HOSPITAL DE LA AXARQUIA,Andalucía,Malaga,Vélez-Málaga,AVENIDA DEL SOL 43,29740,951067010,219,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0129001079,290081,HOSPITAL VITHAS PARQUE SAN ANTONIO,Andalucía,Malaga,Málaga,AVENIDA PINTOR JOAQUIN SOROLLA 2,29016,952211050,100,Hospitales Generales,Privados,,Sin concierto,NO
0129001081,290115,HM MALAGA,Andalucía,Malaga,Málaga,AVENIDA CARLOS HAYA 121,29010,952287766,105,Hospitales Generales,Privados,,Sin concierto,NO
0129001082,290108,HM GALVEZ,Andalucía,Malaga,Málaga,CALLE SAN AGUSTIN 1,29015,952224295,62,Hospitales Generales,Privados,,Sin concierto,NO
0129001083,290228,HOSPITAL INTERNACIONAL HM SANTA ELENA,Andalucía,Malaga,Torremolinos,URBANIZACION LOS ALAMOS S/N,29620,952386266,90,Hospitales Generales,Privados,,Sin concierto,NO
0129001084,290094,HOSPITAL EL ANGEL,Andalucía,Malaga,Málaga,CALLE CORREGIDOR NICOLAS ISIDRO 16,29007,952045000,138,Hospitales Generales,Privados,,Concierto parcial,SI
0129001085,290075,CENTRO ASISTENCIAL HNAS. HOSPITALARIAS DEL  SAGRADO CORAZON DE JESUS,Andalucía,Malaga,Málaga,CALLE SAN JUAN BOSCO 41,29014,952256150,321,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Sin concierto,NO
